------------------------------------------
Starting Logging:16:17:47.384181
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
16:27:13.672624:481,0,0,0,245,307,685,0
16:27:14.675880:452,0,0,0,315,342,685,0
16:27:15.679183:494,0,0,0,290,427,685,0
16:27:16.682681:475,0,0,0,290,307,685,0
16:27:18.692925:373,0,0,0,245,712,685,0
16:27:19.696360:436,0,0,0,280,447,685,0
16:27:20.699526:355,0,0,0,290,312,685,0
16:27:21.703017:449,0,0,0,280,632,685,0
16:27:22.711910:382,0,0,0,280,312,685,0
16:27:23.714965:406,0,0,0,385,307,685,0
16:27:24.717543:406,0,0,0,385,307,685,0
16:27:25.720752:506,0,0,0,85,472,685,0
16:27:26.724111:384,0,0,0,280,447,685,0
16:27:27.732778:326,0,0,0,490,262,685,0
16:27:28.736142:300,0,0,0,315,632,685,0
16:27:29.739944:269,0,0,0,260,282,685,0
16:27:30.743530:378,0,0,0,440,612,685,0
16:27:32.747988:399,0,0,0,280,342,685,0
16:27:33.751352:292,0,0,0,315,372,685,0
16:27:34.754645:501,0,0,0,245,447,685,0
16:27:35.757910:459,0,0,0,245,372,685,0
16:27:36.760770:468,0,0,0,260,472,685,0
16:27:37.771414:359,0,0,0,280,447,685,0
16:27:38.774189:359,0,0,0,265,632,685,0
16:27:39.777429:447,0,0,0,315,422,685,0
16:27:40.781057:310,0,0,0,752,712,685,0
16:27:41.784284:390,0,0,0,280,422,685,0
16:27:42.787744:276,0,0,0,470,447,685,0
16:27:43.797341:491,0,0,0,260,262,685,0
16:27:44.800297:316,0,0,0,215,372,685,0
16:27:45.803083:316,0,0,0,290,342,685,0
16:27:46.805744:447,0,0,0,470,312,685,0
16:27:47.808567:366,0,0,0,245,472,685,0
16:27:48.814692:358,0,0,0,395,462,685,0
16:27:49.817937:315,0,0,0,385,262,685,0
16:27:50.820558:463,0,0,0,260,472,685,0
16:27:51.831420:306,0,0,0,260,632,685,0
16:27:52.833950:306,0,0,0,265,557,685,0
16:27:53.843957:358,0,0,0,490,472,685,0
16:27:54.846610:389,0,0,0,265,422,685,0
16:27:55.849874:314,0,0,0,490,462,685,0
16:27:56.853324:354,0,0,0,385,307,685,0
16:27:57.856023:262,0,0,0,280,312,685,0
16:27:58.869575:498,0,0,0,215,342,685,0
16:28:00.874404:319,0,0,0,280,472,685,0
16:28:01.876923:443,0,0,0,490,557,685,0
16:28:02.879574:429,0,0,0,280,307,685,0
16:28:03.889454:500,0,0,0,345,422,685,0
16:28:04.892073:462,0,0,0,490,372,685,0
16:28:05.895582:409,0,0,0,300,387,685,0
16:28:07.902924:359,0,0,0,265,212,685,0
16:28:08.908752:282,0,0,0,315,632,685,0
16:28:09.911452:380,0,0,0,265,312,685,0
16:28:10.914167:300,0,0,0,315,472,685,0
16:28:11.917077:349,0,0,0,315,262,685,0
16:28:12.919765:300,0,0,0,260,712,685,0
16:28:13.926166:300,0,0,0,245,712,685,0
16:28:14.928621:401,0,0,0,265,307,685,0
16:28:15.931034:298,0,0,0,280,422,685,0
16:28:16.933795:364,0,0,0,265,307,685,0
16:28:17.936373:419,0,0,0,485,372,685,0
16:28:18.945522:319,0,0,0,85,712,685,0
16:28:19.949023:487,0,0,0,110,262,685,0
16:28:20.951375:487,0,0,0,110,262,685,0
16:28:21.953910:498,0,0,0,245,422,685,0
16:28:22.956713:421,0,0,0,245,312,685,0
16:28:23.965356:336,0,0,0,265,462,685,0
16:28:24.967960:505,0,0,0,260,470,685,0
16:28:25.970473:323,0,0,0,395,422,685,0
16:28:26.974150:460,0,0,0,265,472,685,0
16:28:27.976679:460,0,0,0,265,472,685,0
16:28:28.994711:388,0,0,0,385,312,685,0
16:28:29.997214:462,0,0,0,245,262,685,0
16:28:30.999860:270,0,0,0,215,470,685,0
16:28:32.002511:366,0,0,0,245,447,685,0
16:28:33.005214:334,0,0,0,385,312,685,0
16:28:34.010990:261,0,0,0,470,422,685,0
16:28:35.013627:261,0,0,0,470,422,685,0
16:28:36.019706:399,0,0,0,485,447,685,0
16:28:37.021436:403,0,0,0,320,632,685,0
16:28:38.023915:416,0,0,0,490,282,685,0
16:28:39.031770:419,0,0,0,320,422,685,0
16:28:40.041422:397,0,0,0,260,262,685,0
16:28:41.044809:343,0,0,0,470,472,685,0
16:28:42.047419:343,0,0,0,470,472,685,0
16:28:43.050695:310,0,0,0,752,422,685,0
16:28:44.059124:352,0,0,0,85,472,685,0
16:28:45.062597:493,0,0,0,265,212,685,0
16:28:46.065889:352,0,0,0,350,472,685,0
16:28:47.069254:469,0,0,0,315,422,685,0
-------------------------------
Starting Logging:17:04:04.735130
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
17:04:07.203952:578,0,0,0,315,472,0,0
17:04:08.210871:370,0,0,0,290,712,0,0
17:04:09.213786:743,0,0,0,470,712,685,0
17:04:10.216269:719,0,0,0,315,422,685,0
17:04:11.218927:653,0,0,0,290,462,685,0
17:04:12.221995:629,0,0,0,245,282,685,0
17:04:13.224511:629,0,0,0,85,447,685,0
17:04:14.226982:540,0,0,0,280,212,685,0
17:04:15.229615:604,0,0,0,440,262,685,0
17:04:16.231437:671,0,0,0,85,712,685,0
17:04:17.233939:690,0,0,0,315,307,685,0
17:04:18.236524:561,0,0,0,265,312,685,0
17:04:20.241110:624,0,0,0,612,212,685,0
17:04:21.287735:552,0,0,0,470,312,685,0
17:04:22.290198:646,0,0,0,395,712,685,0
17:04:23.293647:494,0,0,0,260,307,685,0
17:04:24.297060:593,0,0,0,440,307,685,0
-------------------------------
Starting Logging:23:05:57.157003
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
23:05:59.552583:471,0,0,0,280,212,685,598
23:06:00.555923:250,0,0,0,215,307,685,598
23:06:01.559338:346,0,0,0,215,712,685,598
23:06:02.562735:406,0,0,0,752,307,685,598
23:06:03.566118:437,0,0,0,390,212,685,598
23:06:04.569526:226,0,0,0,220,307,685,598
23:06:05.573164:433,0,0,0,312,312,685,598
23:06:06.576454:364,0,0,0,312,427,685,598
23:06:07.579810:360,0,0,0,612,307,685,598
23:06:08.583090:330,0,0,0,312,427,685,598
23:06:09.586568:377,0,0,0,300,447,685,598
23:06:10.591418:241,425,0,0,184,328,685,598
23:06:12.599186:344,176,0,0,298,329,685,598
23:06:13.608172:250,0,0,0,262,387,685,598
23:06:14.611517:357,0,0,0,262,387,685,598
-------------------------------
Starting Logging:23:10:10.323215
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
23:10:12.722072:479,0,0,0,440,282,0,0
23:10:13.734176:464,0,0,0,390,462,505,465
23:10:14.738603:279,0,0,0,470,262,505,465
23:10:15.743576:329,0,0,0,315,712,505,465
23:10:16.748506:279,0,0,0,632,282,505,465
23:10:17.753112:448,0,0,0,390,212,505,465
23:10:18.770023:437,0,0,0,485,422,505,465
23:10:19.772734:310,0,0,0,215,427,505,465
23:10:20.776004:260,0,0,0,557,472,505,465
23:10:21.779346:478,0,0,0,312,472,505,465
23:10:22.782861:288,0,0,0,215,307,505,465
23:10:23.790330:400,0,0,0,85,307,505,465
23:10:24.792875:400,0,0,0,215,312,505,465
23:10:25.795513:301,0,0,0,280,372,505,465
23:10:26.798815:486,0,0,0,312,422,505,465
23:10:27.801449:292,0,0,0,752,472,505,465
23:10:28.813214:329,0,0,0,387,282,505,465
23:10:29.817043:323,0,0,0,470,212,505,465
23:10:30.821086:288,0,0,0,300,342,505,465
23:10:31.831743:288,0,0,0,300,447,505,465
23:10:32.835047:380,0,0,0,300,282,505,465
23:10:33.843071:319,235,0,0,345,422,505,520
23:10:34.846303:428,544,0,0,577,164,505,296
23:10:35.849790:302,495,0,0,330,535,505,489
23:10:36.852268:376,291,0,0,336,492,505,255
23:10:37.856030:361,396,0,0,301,382,390,469
23:10:38.874769:388,456,0,0,665,400,390,469
23:10:39.877968:320,678,0,0,368,415,463,521
23:10:40.881781:438,216,0,0,454,509,463,454
23:10:41.885159:308,500,0,0,379,332,575,347
23:10:42.888467:423,0,0,0,447,632,575,347
23:10:43.899317:384,0,0,0,462,632,575,347
23:10:44.911409:310,0,0,0,462,632,575,347
-------------------------------
Starting Logging:10:42:47.901406
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
-------------------------------
Starting Logging:10:43:20.343928
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
-------------------------------
Starting Logging:10:57:13.839689
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
-------------------------------
Starting Logging:10:58:56.074266
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
10:58:58.493499:0,0,0,0,0,0,0,0
10:58:59.497460:0,0,0,0,0,0,0,0
10:59:00.507380:0,0,0,0,0,0,0,0
10:59:01.510640:0,0,0,0,0,0,0,0
10:59:02.514950:0,0,0,0,0,0,0,0
10:59:03.519693:0,0,0,0,0,0,0,0
10:59:04.524002:0,0,0,0,0,0,0,0
10:59:05.532024:0,0,0,0,0,0,0,0
10:59:06.536405:0,0,0,0,0,0,0,0
10:59:07.540089:0,0,0,0,0,0,0,0
10:59:08.544205:0,0,0,0,0,0,0,0
10:59:09.548174:0,0,0,0,0,0,0,0
10:59:10.557499:0,0,0,0,0,0,0,0
10:59:11.561447:0,0,0,0,0,0,0,0
10:59:12.566297:0,0,0,0,0,0,0,0
10:59:13.570024:0,0,0,0,0,0,0,0
10:59:14.574154:0,0,0,0,0,0,0,0
10:59:15.584539:0,0,0,0,0,0,0,0
10:59:16.587157:0,0,0,0,0,0,0,0
10:59:17.590505:0,0,0,0,0,0,0,0
10:59:18.593156:0,0,0,0,0,0,0,0
10:59:19.596823:0,0,0,0,0,0,0,0
10:59:20.602030:0,0,0,0,0,0,0,0
10:59:21.607256:0,0,0,0,0,0,0,0
10:59:22.610831:0,0,0,0,0,0,0,0
10:59:23.615838:0,0,0,0,0,0,0,0
10:59:24.619175:0,0,0,0,0,0,0,0
10:59:25.626789:0,0,0,0,0,0,0,0
10:59:26.629408:0,0,0,0,0,0,0,0
10:59:27.634505:0,0,0,0,0,0,0,0
10:59:28.638855:0,0,0,0,0,0,0,0
10:59:29.641493:0,0,0,0,0,0,0,0
10:59:31.192798:0,0,0,0,0,0,0,0
10:59:32.195229:0,0,0,0,0,0,0,0
10:59:33.198604:0,0,0,0,0,0,0,0
10:59:34.201454:0,0,0,0,0,0,0,0
10:59:35.204943:0,0,0,0,0,0,0,0
10:59:36.214971:0,0,0,0,0,0,0,0
10:59:37.217793:0,0,0,0,0,0,0,0
10:59:38.222729:0,0,0,0,0,0,0,0
10:59:39.226086:0,0,0,0,0,0,0,0
10:59:40.230887:0,0,0,0,0,0,0,0
10:59:41.236811:0,0,0,0,0,0,0,0
10:59:42.241031:0,0,0,0,0,0,0,0
10:59:43.244750:0,0,0,0,0,0,0,0
10:59:44.248723:0,0,0,0,0,0,0,0
10:59:45.252681:0,0,0,0,0,0,0,0
10:59:46.260747:0,0,0,0,0,0,0,0
10:59:47.266131:0,0,0,0,0,0,0,0
10:59:48.269497:0,0,0,0,0,0,0,0
10:59:49.272937:0,0,0,0,0,0,0,0
10:59:50.276207:0,0,0,0,0,0,0,0
10:59:51.284499:0,0,0,0,0,0,0,0
10:59:52.289603:0,0,0,0,0,0,0,0
10:59:53.291338:0,0,0,0,0,0,0,0
10:59:54.294647:0,0,0,0,0,0,0,0
10:59:55.298006:0,0,0,0,0,0,0,0
-------------------------------
Starting Logging:10:59:59.002650
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
11:00:00.515972:0,0,0,0,0,0,0,0
11:00:01.523625:0,0,0,0,0,0,0,0
11:00:02.526997:0,0,0,0,0,0,0,0
11:00:03.530345:0,0,0,0,0,0,0,0
11:00:04.543041:0,0,0,0,0,0,0,0
11:00:05.546403:0,0,0,0,0,0,0,0
11:00:06.549770:0,0,0,0,0,0,0,0
11:00:07.553923:0,0,0,0,0,0,0,0
11:00:08.557456:0,0,0,0,0,0,0,0
11:00:09.566132:0,0,0,0,0,0,0,0
11:00:10.573299:0,0,0,0,0,0,0,0
11:00:11.577106:0,0,0,0,0,0,0,0
11:00:12.580963:0,0,0,0,0,0,0,0
11:00:13.585103:0,0,0,0,0,0,0,0
11:00:14.597649:0,0,0,0,0,0,0,0
11:00:15.601345:0,0,0,0,0,0,0,0
11:00:16.605287:0,0,0,0,0,0,0,0
11:00:17.609359:0,0,0,0,0,0,0,0
11:00:18.613320:0,0,0,0,0,0,0,0
11:00:19.642498:0,0,0,0,0,0,0,0
11:00:20.646450:0,0,0,0,0,0,0,0
11:00:21.649716:0,0,0,0,0,0,0,0
11:00:22.654055:0,0,0,0,0,0,0,0
11:00:23.658157:0,0,0,0,0,0,0,0
11:00:24.666215:0,0,0,0,0,0,0,0
11:00:25.669798:0,0,0,0,0,0,0,0
11:00:26.673962:0,0,0,0,0,0,0,0
11:00:27.677974:0,0,0,0,0,0,0,0
11:00:28.681984:0,0,0,0,0,0,0,0
11:00:29.694526:0,0,0,0,0,0,0,0
11:00:30.699090:0,0,0,0,0,0,0,0
11:00:31.703149:0,0,0,0,0,0,0,0
11:00:32.707059:0,0,0,0,0,0,0,0
11:00:33.711163:0,0,0,0,0,0,0,0
11:00:34.724136:0,0,0,0,0,0,0,0
11:00:35.727990:0,0,0,0,0,0,0,0
11:00:36.732105:0,0,0,0,0,0,0,0
11:00:37.738333:0,0,0,0,0,0,0,0
11:00:38.742515:0,0,0,0,0,0,0,0
11:00:39.752812:0,0,0,0,0,0,0,0
11:00:40.756767:0,0,0,0,0,0,0,0
11:00:41.760946:0,0,0,0,0,0,0,0
11:00:42.770327:0,0,0,0,0,0,0,0
11:00:43.773453:0,0,0,0,0,0,0,0
11:00:44.782760:0,0,0,0,0,0,0,0
11:00:45.786543:0,0,0,0,0,0,0,0
11:00:46.789817:0,0,0,0,0,0,0,0
11:00:47.793412:0,0,0,0,0,0,0,0
11:00:48.796793:0,0,0,0,0,0,0,0
11:00:49.803902:0,0,0,0,0,0,0,0
11:00:50.807349:0,0,0,0,0,0,0,0
11:00:51.810861:0,0,0,0,0,0,0,0
11:00:52.814348:0,0,0,0,0,0,0,0
11:00:53.817668:0,0,0,0,0,0,0,0
11:00:54.825862:0,0,0,0,0,0,0,0
11:00:55.830094:0,0,0,0,0,0,0,0
11:00:56.834243:0,0,0,0,0,0,0,0
11:00:57.837665:0,0,0,0,0,0,0,0
11:00:58.840988:0,0,0,0,0,0,0,0
11:00:59.848918:0,0,0,0,0,0,0,0
11:01:00.853208:0,0,0,0,0,0,0,0
11:01:01.857466:0,0,0,0,0,0,0,0
11:01:02.861562:0,0,0,0,0,0,0,0
11:01:03.864268:0,0,0,0,0,0,0,0
11:01:04.879357:0,0,0,0,0,0,0,0
11:01:05.881942:0,0,0,0,0,0,0,0
11:01:06.884461:0,0,0,0,0,0,0,0
11:01:07.887873:0,0,0,0,0,0,0,0
11:01:08.890880:0,0,0,0,0,0,0,0
11:01:09.903939:0,0,0,0,0,0,0,0
11:01:10.907972:0,0,0,0,0,0,0,0
11:01:11.911939:0,0,0,0,0,0,0,0
11:01:12.916144:0,0,0,0,0,0,0,0
11:01:13.920063:0,0,0,0,0,0,0,0
11:01:14.935250:0,0,0,0,0,0,0,0
11:01:15.938574:0,0,0,0,0,0,0,0
11:01:16.941344:0,0,0,0,0,0,0,0
11:01:17.944674:0,0,0,0,0,0,0,0
11:01:18.948018:0,0,0,0,0,0,0,0
11:01:19.955422:0,0,0,0,0,0,0,0
11:01:20.958955:0,0,0,0,0,0,0,0
11:01:21.962472:0,0,0,0,0,0,0,0
11:01:22.965869:0,0,0,0,0,0,0,0
11:01:23.969285:0,0,0,0,0,0,0,0
11:01:24.978370:0,0,0,0,0,0,0,0
11:01:25.982860:0,0,0,0,0,0,0,0
11:01:26.986295:0,0,0,0,0,0,0,0
11:01:27.989973:0,0,0,0,0,0,0,0
11:01:28.996252:0,0,0,0,0,0,0,0
11:01:30.004873:0,0,0,0,0,0,0,0
11:01:31.007810:0,0,0,0,0,0,0,0
11:01:32.011195:0,0,0,0,0,0,0,0
-------------------------------
Starting Logging:11:07:22.896207
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
11:07:25.359720:0,0,0,0,0,0,0,0
11:07:26.363289:0,0,0,0,0,0,0,0
11:07:27.370463:0,0,0,0,0,0,0,0
11:07:28.374437:0,0,0,0,0,0,0,0
11:07:29.378557:0,0,0,0,0,0,0,0
11:07:30.382712:0,0,0,0,0,0,0,0
11:07:31.386699:0,0,0,0,0,0,0,0
11:07:32.393024:0,0,0,0,0,0,0,0
11:07:33.395608:0,0,0,0,0,0,0,0
11:07:34.399767:0,0,0,0,0,0,0,0
11:07:35.403246:0,0,0,0,0,0,0,0
11:07:36.405847:0,0,0,0,0,0,0,0
11:07:37.418285:0,0,0,0,0,0,0,0
11:07:38.421371:0,0,0,0,0,0,0,0
11:07:39.433642:0,0,0,0,0,0,0,0
11:07:40.436257:0,0,0,0,0,0,0,0
11:07:41.440370:0,0,0,0,0,0,0,0
11:07:42.446137:0,0,0,0,0,0,0,0
11:07:43.448711:0,0,0,0,0,0,0,0
11:07:44.452087:0,0,0,0,0,0,0,0
11:07:45.455909:0,0,0,0,0,0,0,0
11:07:46.458579:0,0,0,0,0,0,0,0
11:07:47.461453:0,0,0,0,0,0,0,0
11:07:48.464828:0,0,0,0,0,0,0,0
-------------------------------
Starting Logging:11:07:52.118941
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
11:07:53.979215:0,0,0,0,0,0,0,0
11:07:54.982875:0,0,0,0,0,0,0,0
11:07:55.986282:0,0,0,0,0,0,0,0
11:07:56.989702:0,0,0,0,0,0,0,0
11:07:57.993184:0,0,0,0,0,0,0,0
11:07:58.996571:0,0,0,0,0,0,0,0
11:07:59.999935:0,0,0,0,0,0,0,0
11:08:01.003509:0,0,0,0,0,0,0,0
11:08:02.006369:0,0,0,0,0,0,0,0
11:08:03.014217:0,0,0,0,0,0,0,0
11:08:04.025109:0,0,0,0,0,0,0,0
11:08:05.029944:0,0,0,0,0,0,0,0
11:08:06.034848:0,0,0,0,0,0,0,0
11:08:07.038108:0,0,0,0,0,0,0,0
11:08:08.041258:0,0,0,0,0,0,0,0
11:08:09.050088:0,0,0,0,0,0,0,0
11:08:10.054658:0,0,0,0,0,0,0,0
11:08:11.058503:0,0,0,0,0,0,0,0
11:08:12.062567:0,0,0,0,0,0,0,0
11:08:13.066694:0,0,0,0,0,0,0,0
11:08:14.078821:0,0,0,0,0,0,0,0
11:08:15.082956:0,0,0,0,0,0,0,0
11:08:16.086815:0,0,0,0,0,0,0,0
11:08:17.090806:0,0,0,0,0,0,0,0
11:08:18.094874:0,0,0,0,0,0,0,0
11:08:19.103377:0,0,0,0,0,0,0,0
11:08:20.108609:0,0,0,0,0,0,0,0
11:08:21.112573:0,0,0,0,0,0,0,0
11:08:22.116541:0,0,0,0,0,0,0,0
11:08:23.120747:0,0,0,0,0,0,0,0
11:08:24.130385:0,0,0,0,0,0,0,0
11:08:25.134006:0,0,0,0,0,0,0,0
11:08:26.137906:0,0,0,0,0,0,0,0
11:08:27.141842:0,0,0,0,0,0,0,0
11:08:28.145825:0,0,0,0,0,0,0,0
11:08:29.153602:0,0,0,0,0,0,0,0
11:08:30.157937:0,0,0,0,0,0,0,0
11:08:31.162428:0,0,0,0,0,0,0,0
11:08:32.166392:0,0,0,0,0,0,0,0
11:08:33.170724:0,0,0,0,0,0,0,0
11:08:34.183164:0,0,0,0,0,0,0,0
11:08:35.187157:0,0,0,0,0,0,0,0
11:08:36.191313:0,0,0,0,0,0,0,0
11:08:37.194835:0,0,0,0,0,0,0,0
11:08:38.199183:0,0,0,0,0,0,0,0
11:08:39.211604:0,0,0,0,0,0,0,0
11:08:40.216298:0,0,0,0,0,0,0,0
11:08:41.220978:0,0,0,0,0,0,0,0
11:08:42.226508:0,0,0,0,0,0,0,0
11:08:43.233373:0,0,0,0,0,0,0,0
11:08:44.242830:0,0,0,0,0,0,0,0
11:08:45.246551:0,0,0,0,0,0,0,0
11:08:46.250574:0,0,0,0,0,0,0,0
11:08:47.254547:0,0,0,0,0,0,0,0
11:08:48.259604:0,0,0,0,0,0,0,0
11:08:49.270872:0,0,0,0,0,0,0,0
11:08:50.273859:0,0,0,0,0,0,0,0
11:08:51.277196:0,0,0,0,0,0,0,0
11:08:52.280617:0,0,0,0,0,0,0,0
11:08:53.284167:0,0,0,0,0,0,0,0
11:08:54.294476:0,0,0,0,0,0,0,0
11:08:55.297484:0,0,0,0,0,0,0,0
11:08:56.300916:0,0,0,0,0,0,0,0
11:08:57.303696:0,0,0,0,0,0,0,0
11:08:58.306993:0,0,0,0,0,0,0,0
11:08:59.314839:0,0,0,0,0,0,0,0
11:09:00.317457:0,0,0,0,0,0,0,0
11:09:01.320983:0,0,0,0,0,0,0,0
11:09:02.325028:0,0,0,0,0,0,0,0
11:09:03.333474:0,0,0,0,0,0,0,0
11:09:04.347196:0,0,0,0,0,0,0,0
11:09:05.350452:0,0,0,0,0,0,0,0
11:09:06.353910:0,0,0,0,0,0,0,0
11:09:07.357267:0,0,0,0,0,0,0,0
11:09:08.360581:0,0,0,0,0,0,0,0
11:09:09.369707:0,0,0,0,0,0,0,0
11:09:10.373065:0,0,0,0,0,0,0,0
11:09:11.377443:0,0,0,0,0,0,0,0
11:09:12.380759:0,0,0,0,0,0,0,0
11:09:13.384205:0,0,0,0,0,0,0,0
11:09:14.397436:0,0,0,0,0,0,0,0
11:09:15.404722:0,0,0,0,0,0,0,0
11:09:16.408595:0,0,0,0,0,0,0,0
11:09:17.412622:0,0,0,0,0,0,0,0
11:09:18.416613:0,0,0,0,0,0,0,0
11:09:19.428315:0,0,0,0,0,0,0,0
11:09:20.433183:0,0,0,0,0,0,0,0
11:09:21.436506:0,0,0,0,0,0,0,0
11:09:22.439841:0,0,0,0,0,0,0,0
11:09:23.443788:0,0,0,0,0,0,0,0
11:09:24.451665:0,0,0,0,0,0,0,0
11:09:25.454298:0,0,0,0,0,0,0,0
11:09:26.457741:0,0,0,0,0,0,0,0
11:09:27.461142:0,0,0,0,0,0,0,0
11:09:28.464508:0,0,0,0,0,0,0,0
11:09:29.471982:0,0,0,0,0,0,0,0
11:09:30.475155:0,0,0,0,0,0,0,0
11:09:31.478930:0,0,0,0,0,0,0,0
11:09:32.482240:0,0,0,0,0,0,0,0
11:09:33.485564:0,0,0,0,0,0,0,0
11:09:34.493717:0,0,0,0,0,0,0,0
11:09:35.497683:0,0,0,0,0,0,0,0
11:09:36.501587:0,0,0,0,0,0,0,0
11:09:37.504973:0,0,0,0,0,0,0,0
11:09:38.508360:0,0,0,0,0,0,0,0
11:09:39.516217:0,0,0,0,0,0,0,0
11:09:40.520098:0,0,0,0,0,0,0,0
11:09:41.522773:0,0,0,0,0,0,0,0
11:09:42.526140:0,0,0,0,0,0,0,0
11:09:43.530250:0,0,0,0,0,0,0,0
11:09:44.534221:0,0,0,0,0,0,0,0
11:09:45.538203:0,0,0,0,0,0,0,0
11:09:46.542209:0,0,0,0,0,0,0,0
11:09:47.545456:0,0,0,0,0,0,0,0
11:09:48.549539:0,0,0,0,0,0,0,0
11:09:49.558397:0,0,0,0,0,0,0,0
11:09:50.561571:0,0,0,0,0,0,0,0
11:09:51.565596:0,0,0,0,0,0,0,0
11:09:52.571672:0,0,0,0,0,0,0,0
11:09:53.575825:0,0,0,0,0,0,0,0
11:09:54.585039:0,0,0,0,0,0,0,0
11:09:55.589138:0,0,0,0,0,0,0,0
11:09:56.593079:0,0,0,0,0,0,0,0
11:09:57.596991:0,0,0,0,0,0,0,0
11:09:58.600933:0,0,0,0,0,0,0,0
11:09:59.609500:0,0,0,0,0,0,0,0
11:10:00.614252:0,0,0,0,0,0,0,0
11:10:01.618173:0,0,0,0,0,0,0,0
11:10:02.622988:0,0,0,0,0,0,0,0
11:10:03.627028:0,0,0,0,0,0,0,0
11:10:04.637144:0,0,0,0,0,0,0,0
11:10:05.641256:0,0,0,0,0,0,0,0
11:10:06.645295:0,0,0,0,0,0,0,0
11:10:07.649131:0,0,0,0,0,0,0,0
11:10:08.653088:0,0,0,0,0,0,0,0
11:10:09.663544:0,0,0,0,0,0,0,0
11:10:10.667463:0,0,0,0,0,0,0,0
11:10:11.671427:0,0,0,0,0,0,0,0
11:10:12.675456:0,0,0,0,0,0,0,0
11:10:13.679472:0,0,0,0,0,0,0,0
11:10:14.688402:0,0,0,0,0,0,0,0
11:10:15.692842:0,0,0,0,0,0,0,0
11:10:16.696785:0,0,0,0,0,0,0,0
11:10:17.700693:0,0,0,0,0,0,0,0
11:10:18.704672:0,0,0,0,0,0,0,0
11:10:19.717270:0,0,0,0,0,0,0,0
11:10:20.723046:0,0,0,0,0,0,0,0
11:10:21.726927:0,0,0,0,0,0,0,0
11:10:22.730886:0,0,0,0,0,0,0,0
11:10:23.739893:0,0,0,0,0,0,0,0
11:10:24.749439:0,0,0,0,0,0,0,0
11:10:25.753012:0,0,0,0,0,0,0,0
11:10:26.757019:0,0,0,0,0,0,0,0
11:10:27.761130:0,0,0,0,0,0,0,0
11:10:28.770898:0,0,0,0,0,0,0,0
11:10:29.780502:0,0,0,0,0,0,0,0
11:10:30.784883:0,0,0,0,0,0,0,0
11:10:31.788906:0,0,0,0,0,0,0,0
11:10:32.793070:0,0,0,0,0,0,0,0
11:10:33.797038:0,0,0,0,0,0,0,0
11:10:34.804662:0,0,0,0,0,0,0,0
11:10:35.809244:0,0,0,0,0,0,0,0
11:10:36.813831:0,0,0,0,0,0,0,0
11:10:37.817723:0,0,0,0,0,0,0,0
11:10:38.821826:0,0,0,0,0,0,0,0
11:10:39.831206:0,0,0,0,0,0,0,0
11:10:40.835500:0,0,0,0,0,0,0,0
11:10:41.839413:0,0,0,0,0,0,0,0
11:10:42.843408:0,0,0,0,0,0,0,0
11:10:43.847245:0,0,0,0,0,0,0,0
11:10:44.856334:0,0,0,0,0,0,0,0
11:10:45.860653:0,0,0,0,0,0,0,0
11:10:46.864688:0,0,0,0,0,0,0,0
11:10:47.868597:0,0,0,0,0,0,0,0
11:10:48.873234:0,0,0,0,0,0,0,0
11:10:49.882827:0,0,0,0,0,0,0,0
11:10:50.886967:0,0,0,0,0,0,0,0
11:10:51.893759:0,0,0,0,0,0,0,0
11:10:52.897765:0,0,0,0,0,0,0,0
11:10:53.901877:0,0,0,0,0,0,0,0
11:10:54.910630:0,0,0,0,0,0,0,0
11:10:55.915296:0,0,0,0,0,0,0,0
11:10:56.919276:0,0,0,0,0,0,0,0
11:10:57.931316:0,0,0,0,0,0,0,0
11:10:58.935121:0,0,0,0,0,0,0,0
11:10:59.951134:0,0,0,0,0,0,0,0
