------------------------------------------
Starting Logging:16:17:47.384181
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
16:19:56.757524:475,0,0,0,265,307,685,0
16:19:57.760861:443,0,0,0,290,282,685,0
16:19:58.764569:266,0,0,0,260,307,685,0
16:19:59.780521:488,0,0,0,260,307,685,0
16:20:00.783954:427,0,0,0,315,462,685,0
16:20:01.787276:347,0,0,0,280,712,685,0
16:20:02.790635:338,0,0,0,470,262,685,0
16:20:03.794095:437,0,0,0,425,422,685,0
16:20:04.807292:458,0,0,0,315,447,685,0
16:20:06.812446:399,0,0,0,290,212,685,0
16:20:07.815059:335,0,0,0,470,282,685,0
16:20:08.817732:415,0,0,0,425,307,685,0
16:20:09.825387:413,0,0,0,315,282,685,0
16:20:10.828140:427,0,0,0,440,712,685,0
16:20:11.831438:479,0,0,0,280,472,685,0
16:20:13.836109:383,0,0,0,345,372,685,0
16:20:14.845555:415,0,0,0,245,134,685,0
16:20:15.847994:314,0,0,0,315,422,685,0
16:20:16.851312:315,0,0,0,440,422,685,0
16:20:17.854670:497,0,0,0,245,462,685,0
16:20:18.858577:470,0,0,0,290,387,685,0
16:20:19.868185:433,0,0,0,345,312,685,0
16:20:20.870759:302,0,0,0,345,312,685,0
16:20:21.873458:432,0,0,0,245,427,685,0
16:20:22.876031:392,0,0,0,260,462,685,0
16:20:23.878733:430,0,0,0,490,372,685,0
16:20:24.884713:297,0,0,0,280,712,685,0
16:20:25.887302:348,0,0,0,260,212,685,0
16:20:26.890710:372,0,0,0,290,282,685,0
16:20:27.895691:278,0,0,0,290,282,685,0
16:20:28.898355:371,0,0,0,280,447,685,0
16:20:29.905253:260,0,0,0,245,212,685,0
16:20:30.907932:488,0,0,0,315,387,685,0
16:20:31.910583:395,0,0,0,215,422,685,0
16:20:32.921703:444,0,0,0,245,447,685,0
16:20:33.924729:442,0,0,0,245,447,685,0
16:20:34.935850:416,0,0,0,612,462,685,0
16:20:35.938399:332,0,0,0,300,307,685,0
16:20:36.941735:384,0,0,0,260,472,685,0
16:20:37.945030:402,0,0,0,265,632,685,0
16:20:38.948358:486,0,0,0,385,462,685,0
16:20:39.955719:388,0,0,0,245,307,685,0
16:20:40.958355:388,0,0,0,280,282,685,0
16:20:41.961347:309,0,0,0,315,282,685,0
16:20:42.964477:433,0,0,0,395,372,685,0
16:20:43.967773:392,0,0,0,315,632,685,0
16:20:44.975446:305,0,0,0,260,307,685,0
16:20:45.978958:413,0,0,0,245,372,685,0
16:20:46.987990:496,0,0,0,395,312,685,0
16:20:49.001449:268,0,0,0,385,422,685,0
16:20:50.009933:491,0,0,0,315,312,685,0
16:20:51.012629:454,0,0,0,260,504,685,0
16:20:52.015175:373,0,0,0,245,427,685,0
16:20:53.017953:311,0,0,0,280,312,685,0
16:20:54.021380:311,0,0,0,315,712,685,0
16:20:56.029012:420,0,0,0,85,422,685,0
16:20:57.031688:349,0,0,0,215,462,685,0
16:20:58.034275:433,0,0,0,215,447,685,0
16:20:59.036910:370,0,0,0,260,372,685,0
16:21:00.043507:457,0,0,0,315,312,685,0
16:21:01.046758:426,0,0,0,612,342,685,0
16:21:02.051589:426,0,0,0,280,262,685,0
16:21:03.053886:395,0,0,0,395,212,685,0
16:21:04.056426:290,0,0,0,425,422,685,0
16:21:05.063952:323,0,0,0,260,632,685,0
16:21:06.066451:444,0,0,0,485,422,685,0
16:21:07.069068:296,0,0,0,265,312,685,0
16:21:08.071416:345,0,0,0,260,462,685,0
16:21:10.077613:301,0,0,0,260,262,685,0
16:21:11.080186:343,0,0,0,385,307,685,0
16:21:12.082925:286,0,0,0,440,462,685,0
16:21:13.085592:346,0,0,0,350,307,685,0
16:21:14.088231:323,0,0,0,85,422,685,0
16:21:15.099114:502,0,0,0,280,262,685,0
16:21:16.101672:278,0,0,0,315,447,685,0
16:21:17.104183:364,0,0,0,490,447,685,0
16:21:18.106716:370,0,0,0,245,372,685,0
16:21:19.109602:375,0,0,0,290,462,685,0
16:21:20.120264:464,0,0,0,265,462,685,0
16:21:21.123087:510,0,0,0,485,307,685,0
16:21:22.126970:498,0,0,0,395,282,685,0
16:21:23.130180:301,0,0,0,440,472,685,0
16:21:24.132892:292,0,0,0,315,262,685,0
16:21:25.139724:374,0,0,0,280,307,685,0
16:21:26.141385:408,0,0,0,470,712,685,0
16:21:27.144096:375,0,0,0,245,212,685,0
16:21:28.147411:466,0,0,0,315,422,685,0
16:21:29.151464:333,0,0,0,310,557,685,0
16:21:30.162826:336,0,0,0,265,447,685,0
16:21:31.165330:288,0,0,0,290,427,685,0
16:21:32.167915:271,0,0,0,290,372,685,0
16:21:33.170384:499,0,0,0,220,307,685,0
16:21:34.173059:418,0,0,0,440,632,685,0
16:21:35.181434:382,0,0,0,280,712,685,0
16:21:36.185145:417,0,0,0,280,462,685,0
16:21:37.187688:463,0,0,0,280,462,685,0
16:21:38.191036:440,0,0,0,260,447,685,0
16:21:39.193757:481,0,0,0,265,472,685,0
16:21:40.201367:397,0,0,0,260,447,685,0
16:21:41.203961:304,0,0,0,215,262,685,0
16:21:42.206636:391,0,0,0,385,387,685,0
16:21:43.210211:347,0,0,0,265,262,685,0
16:21:44.218970:410,0,0,0,265,262,685,0
16:21:45.221592:322,0,0,0,290,422,685,0
16:21:46.224874:296,0,0,0,260,472,685,0
16:21:47.227327:262,0,0,0,290,312,685,0
16:21:48.229912:492,0,0,0,425,447,685,0
16:21:49.233399:462,0,0,0,440,447,685,0
16:21:50.239176:259,0,0,0,290,262,685,0
16:21:51.241361:386,0,0,0,315,372,685,0
16:21:52.243875:463,0,0,0,260,447,685,0
16:21:53.246512:302,0,0,0,260,422,685,0
16:21:54.249095:378,0,0,0,280,312,685,0
16:21:55.256962:476,0,0,0,265,342,685,0
16:21:56.260306:298,0,0,0,265,447,685,0
16:21:57.263848:373,0,0,0,245,632,685,0
16:21:58.268686:373,0,0,0,85,447,685,0
16:21:59.271344:469,0,0,0,485,462,685,0
16:22:00.280515:416,0,0,0,440,312,685,0
16:22:01.284088:470,0,0,0,440,427,685,0
16:22:02.287392:499,0,0,0,470,262,685,0
16:22:03.289966:417,0,0,0,490,312,685,0
16:22:04.293475:259,0,0,0,310,462,685,0
16:22:05.321421:259,0,0,0,310,462,685,0
16:22:06.324042:491,0,0,0,85,307,685,0
16:22:07.327259:276,0,0,0,260,422,685,0
16:22:08.330677:272,0,0,0,485,422,685,0
16:22:09.334204:298,0,0,0,260,712,685,0
16:22:10.342979:266,0,0,0,310,307,685,0
16:22:11.346410:407,0,0,0,440,427,685,0
16:22:12.349580:407,0,0,0,470,470,685,0
16:22:13.367992:414,0,0,0,470,557,685,0
16:22:14.370617:293,0,0,0,85,462,685,0
16:22:15.376850:390,0,0,0,290,212,685,0
16:22:16.379548:479,0,0,0,290,307,685,0
16:22:17.382264:363,0,0,0,85,462,685,0
16:22:18.384118:470,0,0,0,85,462,685,0
16:22:19.386754:500,0,0,0,260,282,685,0
16:22:20.389494:381,0,0,0,260,282,685,0
16:22:21.392007:346,0,0,0,290,712,685,0
16:22:22.394428:276,0,0,0,265,372,685,0
16:22:23.397079:300,0,0,0,315,422,685,0
16:22:24.399636:374,0,0,0,245,422,685,0
16:22:25.407217:471,0,0,0,215,422,685,0
16:22:26.409445:469,0,0,0,110,262,685,0
16:22:27.412063:503,0,0,0,315,372,685,0
16:22:28.414645:433,0,0,0,315,472,685,0
16:22:29.417159:493,0,0,0,265,422,685,0
16:22:30.424024:332,0,0,0,440,212,685,0
16:22:31.426588:293,0,0,0,315,282,685,0
16:22:32.429335:272,0,0,0,290,712,685,0
16:22:33.432950:511,0,0,0,85,372,685,0
16:22:35.437913:328,0,0,0,265,632,685,0
16:22:36.440564:491,0,0,0,440,307,685,0
16:22:37.443187:424,0,0,0,265,307,685,0
